Head (Code),Head,Sub-head (Code),Sub-head,"Item (Code)
","Ambit
","Approved commitment
$¡¦000","Accumulated expenditure to 31.3.2017
$¡¦000","Revised estimated expenditure for 2017¡V18
$¡¦000","Balance
$¡¦000"
341,Non-recurrent Grants,730,Po Leung Kuk,169,Purchasing eight centre buses for eight day activity centres cum hostels for severely mentally handicapped persons,8037,0,0,8037
341,Non-recurrent Grants,730,Po Leung Kuk,170,Fitting out for four new small group homes in Sha Tin,9402,0,434,8968
341,Non-recurrent Grants,730,Po Leung Kuk,172,Replacing two vehicles for Po Leung Kuk Y C Cheng Centre,1968,0,0,1968
341,Non-recurrent Grants,730,Po Leung Kuk,173,Fitting out for an early education and training centre in Tai Po,4416,0,31,4385
341,Non-recurrent Grants,730,Po Leung Kuk,174,Furnishing and equipping for setting up a new early education and training centre in Tai Po,960,0,0,960
341,Non-recurrent Grants,730,Po Leung Kuk,175,Renovating Kwai Fong Nursery in Kwai Chung,1693,0,0,1693
341,Non-recurrent Grants,730,Po Leung Kuk,176,Renovating Kwok Law Kwai Chun Home for the Elderly in Sheung Wan,1134,0,0,1134
341,Non-recurrent Grants,730,Po Leung Kuk,177,Replacing a vehicle for Eco-Home for the Senior,1012,0,0,1012
341,Non-recurrent Grants,730,Po Leung Kuk,178,Fitting out for a 80-place day care centre for the elderly in Tsuen Wan,5725,0,0,5725
341,Non-recurrent Grants,730,Po Leung Kuk,179,Furnishing and equipping for setting up a new 80-place day care centre for the elderly in Tsuen Wan,5734,0,0,5734
341,Non-recurrent Grants,730,Po Leung Kuk,180,Furnishing and equipping for the provision of new training places under the training subsidy programme for Po Leung Kuk,572,0,0,572
341,Non-recurrent Grants,730,Po Leung Kuk,181,Renovating Po Leung Kuk Tin Yan Home for the Elderly cum Green Joy Day Care Centre for the Elderly in Tin Shui Wai,3789,0,0,3789
341,Non-recurrent Grants,730,Po Leung Kuk,182,Replacing a vehicle for Po Leung Kuk Chow Hung Piu Day Care Centre for the Elderly,1018,0,0,1018
341,Non-recurrent Grants,730,Po Leung Kuk,183,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Po Leung Kuk King Lam Hostel,1611,0,0,1611
341,Non-recurrent Grants,730,Po Leung Kuk,184,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Po Leung Kuk Yuen Fung Po Tim Memorial Hostel,1868,0,0,1868
341,Non-recurrent Grants,736,Pok Oi Hospital,033,Renovating Yeung Chun Pui Care and Attention Home in Yuen Long,18156,900,13488,3768
341,Non-recurrent Grants,736,Pok Oi Hospital,035,Renovating Chan Feng Man Ling Care and Attention Home in Tsz Wan Shan,17308,30,287,16991
341,Non-recurrent Grants,736,Pok Oi Hospital,037,Consultancy service for a proposed elderly home development under the Special Scheme on Privately Owned Sites for Welfare Uses in Tuen Mun,123300,0,165,123135
341,Non-recurrent Grants,768,Richmond Fellowship of Hong Kong,010,Fitting out for an integrated community centre for mental wellness in Chai Wan,2674,2517,0,157
341,Non-recurrent Grants,768,Richmond Fellowship of Hong Kong,013,Renovating Wan Tsui House in Chai Wan,2190,0,0,2190
341,Non-recurrent Grants,768,Richmond Fellowship of Hong Kong,014,Fitting out for additional premises of an integrated community centre for mental wellness in Wong Tai Sin,538,449,67,22
341,Non-recurrent Grants,768,Richmond Fellowship of Hong Kong,015,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Richmond Fellowship of Hong Kong Tsui Wah House,4521,0,0,4521
341,Non-recurrent Grants,790,The Salvation Army,094,Fitting out for the Chuk Yuen Centre for Senior Citizens in Chuk Yuen (South) Estate,714,598,0,116
341,Non-recurrent Grants,790,The Salvation Army,123,Renovating Cheung Hong Community Day Rehabilitation and Residential Service in Tsing Yi,8482,7644,49,789
341,Non-recurrent Grants,790,The Salvation Army,130,Renovating Kam Tin Residence for Senior Citizens in Yuen Long,1231,1022,79,130
341,Non-recurrent Grants,790,The Salvation Army,131,"Renovating, furnishing and equipping for Nam Shan Residence for Senior Citizens in Sham Shui Po",17602,356,2470,14776
341,Non-recurrent Grants,790,The Salvation Army,136,Meeting the cost of technical feasibility study for the redevelopment of the Salvation Army Day Activity Centre in Shau Kei Wan,3000,0,900,2100
341,Non-recurrent Grants,790,The Salvation Army,138,Purchasing three centre buses for three day activity centres cum hostels for severely mentally handicapped persons,3014,0,0,3014
341,Non-recurrent Grants,790,The Salvation Army,139,Replacing a vehicle for the Salvation Army Tak Tin Residence for Senior Citizens,992,0,0,992
341,Non-recurrent Grants,792,Suicide Prevention Services Limited,003,"Fitting out for reprovisioning the Suicide Prevention Services head office cum hotline centre at Ping Shek Estate, Kowloon",1587,1358,112,117
341,Non-recurrent Grants,794,The Samaritan Befrienders Hong Kong,002,Fitting out for reprovisioning the Suicide Crisis Intervention Centre in Sham Shui Po,3395,3103,34,258
341,Non-recurrent Grants,810,Scout Association of Hong Kong,026,Redeveloping the Hong Kong Island Regional Headquarters in Wan Chai,193185,0,5000,188185
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,101,"Fitting out for a district support centre for persons with disabilities at Leung King Estate, Tuen Mun",4823,4364,0,459
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,103,Renovating Hong Kong Sheng Kung Hui Li Ka Shing Care and Attention Home for the Elderly and Hong Kong Sheng Kung Hui Li Ka Shing Day Care Centre for the Elderly in Sham Shui Po,10517,8594,0,1923
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,107,Renovating Lok Wah Day Care Centre for the Elderly in Ngau Tau Kok,2631,62,0,2569
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,110,Fitting out for reprovisioning Kowloon City Children and Youth Integrated Service Centre¡XJockey Club Youth Express in Kowloon,7790,6409,477,904
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,111,Fitting out for reprovisioning Sham Shui Po Integrated Home Care Services Team in Sham Shui Po,1075,918,0,157
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,115,"Renovating, furnishing and equipping for Hong Kong Sheng Kung Hui Kei Oi Nursery School in Sham Shui Po",648,132,0,516
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,116,Renovating Hong Kong Sheng Kung Hui Wu King Integrated Rehabilitation Services Day Activity Centre and Hostel in Tuen Mun,9300,132,0,9168
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,118,Meeting the cost of technical feasibility study for the extension works of Sheng Kung Hui Nursing Home,1898,759,190,949
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,125,Replacing two vehicles of Hong Kong Sheng Kung Hui Li Ka Shing Day Care Centre for the Elderly,1855,0,1822,33
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,127,Replacing two vehicles of Hok Yuen Integrated Home Care Services Team,1855,0,0,1855
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,128,Renovating Ha Sui Wan Nursery School in Tin Shui Wai,1450,63,0,1387
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,131,Purchasing three centre buses for two day activity centres cum hostels for severely mentally handicapped persons,3014,0,0,3014
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,132,Renovating Hong Kong Sheng Kung Hui Nursing Home in Wong Tai Sin,35831,30,0,35801
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,133,Purchasing a vehicle for St. Paul¡¦s Home for the Elderly,983,0,0,983
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,134,Purchasing a vehicle for Hong Kong Sheng Kung Hui St. Luke¡¦s Settlement Integrated Home Care Services Team,998,0,0,998
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,135,Renovating Hong Kong Sheng Kung Hui Good Shepherd Home for the Elderly in Ngau Tau Kok,21212,0,28,21184
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,136,Replacing a vehicle for Hong Kong Sheng Kung Hui Central and Western District Day Care Centre for the Elderly,1028,0,0,1028
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,137,Renovating Hong Kong Sheng Kung Hui Lam Woo Home for the Elderly and On Yam Day Care Centre for the Elderly in Kwai Chung,23427,0,28,23399
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,138,Fitting out for reprovisioning of Tung Chung Integrated Services in Tung Chung,12843,0,0,12843
341,Non-recurrent Grants,820,Hong Kong Sheng Kung Hui Welfare Council Limited,139,Replacing a vehicle for Ma On Shan Youth Night Drifters Reaching Out Service,441,0,0,441
341,Non-recurrent Grants,837,Social Welfare Department,212,Implementing a financial assistance scheme for private residential care homes for persons with disabilities,39000,149,1045,37806
341,Non-recurrent Grants,837,Social Welfare Department,237,Subsidy on the voucher value for implementing the first phase of the pilot scheme on community care service voucher for the elderly,278000,166663,9079,102258
341,Non-recurrent Grants,837,Social Welfare Department,238,Seed money to eligible recognized service providers for purchase of vehicle and/or furniture and equipment under the pilot scheme on community care service voucher for the elderly,102000,56554,10002,35444
341,Non-recurrent Grants,837,Social Welfare Department,242,Constructing a 60-place day care centre for the elderly in Tuen Mun,16550,0,0,16550
341,Non-recurrent Grants,837,Social Welfare Department,248,"Constructing a new contract residential care home for the elderly with a day care unit and a new day care centre for the elderly in Long Ping, Yuen Long",72720,0,0,72720
341,Non-recurrent Grants,837,Social Welfare Department,258,"Constructing a new contract residential care home for the elderly and a new day care centre for the elderly at the site of ex-Kwong Choi Market, Tuen Mun",69920,0,0,69920
341,Non-recurrent Grants,837,Social Welfare Department,287,Meeting the cost of feasibility and related studies for the conversion of the ex-CCC Kei Ching Primary School into a stand-alone welfare complex,730,274,300,156
341,Non-recurrent Grants,837,Social Welfare Department,292,"Meeting the design, construction and fitting out costs for the redevelopment of ex-Siu Lam Hospital into an integrated rehabilitation services complex",1853600,7613,60000,1785987
341,Non-recurrent Grants,837,Social Welfare Department,293,"Meeting the design, construction and fitting out costs for the redevelopment of ex-Kai Nang Sheltered Workshop and Hostel into an integrated rehabilitation services complex",502000,5906,34000,462094
341,Non-recurrent Grants,837,Social Welfare Department,296,Implementing a two-year pilot scheme on on-site pre-school rehabilitation services with an evaluative study,422000,253858,124840,43302
341,Non-recurrent Grants,837,Social Welfare Department,299,Implementing a two-year pilot project on child care training for grandparents,3330,2520,643,167
341,Non-recurrent Grants,837,Social Welfare Department,301,Implementing a two-year pilot project on children contact service,7581,2401,2153,3027
341,Non-recurrent Grants,837,Social Welfare Department,303,Implementing a two-year pilot project on peer support service in community psychiatric service units,10647,2758,2979,4910
341,Non-recurrent Grants,837,Social Welfare Department,304,Implementing a 30-month pilot project on strengthening support for persons with autism and their parents/carers with an evaluative study,27326,10033,6082,11211
341,Non-recurrent Grants,837,Social Welfare Department,305,Publicity and promotion work relating to the implementation of the pilot scheme on community care service voucher for the elderly (second phase),500,198,167,135
341,Non-recurrent Grants,837,Social Welfare Department,306,Reimbursement to eligible recognized service providers as subsidy on the voucher value for the implementation of the pilot scheme on community care service voucher for the elderly (second phase),921315,0,100000,821315
341,Non-recurrent Grants,837,Social Welfare Department,307,Seed money to the eligible recognized service providers for purchase of vehicles and/or furniture and equipment under the pilot scheme on community care service voucher for the elderly (second phase),80000,393,12382,67225
341,Non-recurrent Grants,837,Social Welfare Department,308,Launching Phase 3 of the Social Welfare Development Fund,460152,37363,151796,270993
341,Non-recurrent Grants,837,Social Welfare Department,311,Disbursement to a consultancy organisation to implement a 15-month project for operators of residential care homes for persons with disabilities,1123,222,334,567
341,Non-recurrent Grants,837,Social Welfare Department,312,Meeting the cost of a technical feasibility study for the redevelopment of the Wong Chuk Hang Complex site,9060,0,2118,6942
341,Non-recurrent Grants,837,Social Welfare Department,328,"Fitting out for a hostel for moderately mentally handicapped persons, hostel for severely physically handicapped persons and integrated vocational rehabilitation services centre in Shui Chuen O Estate, Sha Tin",28279,0,0,28279
341,Non-recurrent Grants,837,Social Welfare Department,329,Fitting out for a day activity centre cum hostel for severely mentally handicapped persons in Sha Tin,13798,0,0,13798
341,Non-recurrent Grants,837,Social Welfare Department,332,Fitting out for a special child care centre cum early education training centre in Kwun Tong,8743,0,0,8743
341,Non-recurrent Grants,837,Social Welfare Department,334,Fitting out for a special child care centre cum early education training centre in Kwun Tong,9646,0,0,9646
341,Non-recurrent Grants,837,Social Welfare Department,337,Fitting out for a care and attention home for severely disabilities persons in Kwun Tong,14408,0,0,14408
341,Non-recurrent Grants,837,Social Welfare Department,339,Fitting out for a day activity centre cum hostel for severely mentally handicapped persons in Kwun Tong,17925,0,0,17925
341,Non-recurrent Grants,837,Social Welfare Department,340,Implementing a 18-month quality improvement project for residential care homes for persons with disabilities,1404,0,0,1404
341,Non-recurrent Grants,837,Social Welfare Department,345,Fitting out for a 100-place residential care home for the elderly at Sham Shui Po,26385,0,0,26385
341,Non-recurrent Grants,837,Social Welfare Department,346,"Fitting out for a hostel for moderately mentally handicapped persons, hostel for severely physically handicapped persons and integrated vocational rehabilitation services centre in Kwun Tong",31600,0,0,31600
341,Non-recurrent Grants,837,Social Welfare Department,347,Fitting out for aided stand-alone child care centres in Kwun Tong,6692,0,0,6692
341,Non-recurrent Grants,837,Social Welfare Department,348,Furnishing and equipping for setting up new aided stand-alone child care centres in Kwun Tong,1400,0,0,1400
341,Non-recurrent Grants,837,Social Welfare Department,349,Fitting out for aided stand-alone child care centres in North District,4900,0,0,4900
341,Non-recurrent Grants,837,Social Welfare Department,350,Furnishing and equipping for setting up new aided stand-alone child care centres in North District,1155,0,0,1155
341,Non-recurrent Grants,837,Social Welfare Department,353,Furnishing and equipping for setting up a new residential care home for the elderly cum day care unit for the elderly in Kwun Tong,4815,0,0,4815
341,Non-recurrent Grants,837,Social Welfare Department,357,Fitting out for a 100-place residential care home for the elderly cum a 20-place day care unit for the elderly in Kwun Tong,27107,0,0,27107
341,Non-recurrent Grants,837,Social Welfare Department,360,Implementing a 18-month pilot scheme on training for foreign domestic helpers on elderly care,1777,0,710,1067
341,Non-recurrent Grants,839,The Society for the Aid and Rehabilitation of Drug Abusers,005,Reservoir upgrading works for Shek Kwu Chau Treatment and Rehabilitation Centre in Shek Kwu Chau,30505,25590,0,4915
341,Non-recurrent Grants,840,Society of Boys¡¦ Centres,014,Renovating Chak Yan Centre in Sham Shui Po,12578,0,177,12401
341,Non-recurrent Grants,844,Fu Hong Society,068,"Renovating Fu Hong Society Rehabilitation Centre at Yue Kwong Road, Aberdeen",13859,11963,0,1896
341,Non-recurrent Grants,844,Fu Hong Society,073,Renovating Chak On Adult Training Centre in Sham Shui Po,4090,3551,0,539
341,Non-recurrent Grants,844,Fu Hong Society,077,Renovating Lok Wah Adult Training Centre in Ngau Tau Kok,4164,78,2902,1184
341,Non-recurrent Grants,844,Fu Hong Society,088,Purchasing seven centre buses for seven day activity centres cum hostels for severely mentally handicapped persons,7033,0,0,7033
341,Non-recurrent Grants,844,Fu Hong Society,089,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Tin Yiu Home,617,0,6,611
341,Non-recurrent Grants,844,Fu Hong Society,090,Replacing a vehicle for Kwai Hing Vocational Development Centre,813,0,0,813
341,Non-recurrent Grants,844,Fu Hong Society,091,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Splendor Casa Famiglia,558,0,0,558
341,Non-recurrent Grants,844,Fu Hong Society,092,Undertaking fire safety/building safety rectification measures for residential care homes for persons with disabilities for Leung King Adult Training Centre,1671,0,30,1641
341,Non-recurrent Grants,844,Fu Hong Society,093,Undertaking fire safety/building safety rectification measures for meeting the statutory requirements for Father Tapella Home,719,0,0,719
341,Non-recurrent Grants,844,Fu Hong Society,094,Replacing a vehicle for Lai Yiu Home,1018,0,0,1018
341,Non-recurrent Grants,844,Fu Hong Society,096,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Fu Hong Society Cheung Hong Home,937,0,0,937
341,Non-recurrent Grants,848,SAHK,074,Renovating Apleichau Pre-School Centre in Aberdeen,1036,890,0,146
341,Non-recurrent Grants,848,SAHK,089,Fitting out for in-situ expansion of Cheung Shan Pre-School Centre in Tsuen Wan,2711,1902,349,460
341,Non-recurrent Grants,848,SAHK,090,Fitting out for an office base for the home care services team for persons with severe disabilities in Fanling,1881,1561,145,175
341,Non-recurrent Grants,848,SAHK,094,Replacing a vehicle for Wang Tau Hom Pre-school Centre,622,0,0,622
341,Non-recurrent Grants,848,SAHK,095,Replacing a 30-seater diesel public bus with a new 30-seater diesel public bus for Jockey Club Elaine Field School,2236,0,0,2236
341,Non-recurrent Grants,848,SAHK,096,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Bradbury Wong Tai Sin Hostel,1286,0,0,1286
341,Non-recurrent Grants,848,SAHK,097,Replacing a vehicle of Jockey Club Bradbury Wah Sum Care Centre,1052,0,0,1052
341,Non-recurrent Grants,848,SAHK,098,Replacing a vehicle of Jockey Club Elaine Field School,2236,0,0,2236
341,Non-recurrent Grants,848,SAHK,099,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Chaiwan Hostel,997,0,0,997
341,Non-recurrent Grants,848,SAHK,100,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Tin Yiu Hostel,1042,0,0,1042
341,Non-recurrent Grants,848,SAHK,101,Replacing a vehicle for Lung Hang Pre-school Centre,724,0,0,724
341,Non-recurrent Grants,848,SAHK,102,Purchasing three centre buses for two day activity centres cum hostels for severely mentally handicapped persons and a community rehabilitation day centre,3014,0,0,3014
341,Non-recurrent Grants,848,SAHK,103,Fitting out for a professional support team to Parents/Relative Resources Centres in Wong Tai Sin,1905,0,0,1905
341,Non-recurrent Grants,848,SAHK,104,Furnishing and equipping for setting up a new professional support team to Parents/Relatives Resources Centres in Wong Tai Sin,922,0,0,922
341,Non-recurrent Grants,848,SAHK,105,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Jockey Club New Page Inn,901,0,0,901
341,Non-recurrent Grants,848,SAHK,108,Renovating Jockey Club Bradbury Wah Sum Care Centre in Fanling,7544,0,0,7544
341,Non-recurrent Grants,848,SAHK,109,Furnishing and equipping for the provision of new training places under the training subsidy programme for SAHK,663,0,0,663
341,Non-recurrent Grants,848,SAHK,110,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for SAHK Leung King Hostel,3852,0,0,3852
341,Non-recurrent Grants,860,St. James¡¦ Settlement,037,"Fitting out for reprovisioning the St. James¡¦ Project Care Neighbourhood Elderly Centre at Fuk Loi Estate, Tsuen Wan",2808,2575,0,233
341,Non-recurrent Grants,860,St. James¡¦ Settlement,040,Fitting out for St. James¡¦ Settlement Wanchai Integrated Family Service Centre,4213,3918,0,295
341,Non-recurrent Grants,860,St. James¡¦ Settlement,042,Fitting out for a district support centre for persons with disabilities in Wan Chai,3150,2826,0,324
341,Non-recurrent Grants,860,St. James¡¦ Settlement,044,Renovating Li Chit Street Single Persons Hostel in Wan Chai,2311,2059,0,252
341,Non-recurrent Grants,860,St. James¡¦ Settlement,046,"Renovating, furnishing and equipping for Scenic Resort Nursing Home in Shau Kei Wan",8108,6505,0,1603
341,Non-recurrent Grants,860,St. James¡¦ Settlement,047,Replacing a 7-seater diesel private car with a 5-seater diesel light goods vehicle for Supported Employment,463,0,310,153
341,Non-recurrent Grants,860,St. James¡¦ Settlement,049,Purchasing a 16-seater liquefied petroleum gas private light bus with modifications and essential equipment for Enhanced Home and Community Care Services Team in Hong Kong Cluster (2),1180,0,1002,178
341,Non-recurrent Grants,860,St. James¡¦ Settlement,050,Fitting out for the expansion of Wan Chai Day Care Centre for the Elderly,3114,2912,0,202
341,Non-recurrent Grants,860,St. James¡¦ Settlement,051,Furnishing and equipping for the expansion of Wan Chai Day Care Centre for the Elderly,3296,0,2406,890
341,Non-recurrent Grants,860,St. James¡¦ Settlement,053,Replacing two vehicles for EverDelight Day Care Centre for the Elderly,1697,0,0,1697
341,Non-recurrent Grants,860,St. James¡¦ Settlement,054,Replacing two vehicles for Happy Valley Integrated Service Team,1697,0,0,1697
341,Non-recurrent Grants,860,St. James¡¦ Settlement,055,Replacing a vehicle for Wanchai Integrated Service Team,849,0,0,849
341,Non-recurrent Grants,860,St. James¡¦ Settlement,056,Purchasing two centre buses for two day activity centres cum hostels for severely mentally handicapped persons,2010,0,0,2010
341,Non-recurrent Grants,860,St. James¡¦ Settlement,057,Replacing a vehicle for St. James' Settlement Causeway Bay Integrated Home Care Services Team,951,0,0,951
341,Non-recurrent Grants,860,St. James¡¦ Settlement,058,Fitting out for in-situ expansion of Li Chit Street Hostel,3626,0,0,3626
341,Non-recurrent Grants,860,St. James¡¦ Settlement,059,Undertaking fire safety/building safety rectification measures for residential care home for persons with disabilities for Parkside Residence and Parkside Integrated Service Team,1286,0,0,1286
341,Non-recurrent Grants,860,St. James¡¦ Settlement,060,Fitting out for a self-financing hostel for elderly mentally handicapped persons in Wan Chai,5659,0,0,5659
341,Non-recurrent Grants,860,St. James¡¦ Settlement,061,Furnishing and equipping for setting up a new self-financing hostel for elderly mentally handicapped persons in Wan Chai,867,0,0,867
341,Non-recurrent Grants,860,St. James¡¦ Settlement,062,Fitting out for a day activity centre cum hostel for severely mentally handicapped persons in Pokfulam,13737,0,0,13737
341,Non-recurrent Grants,860,St. James¡¦ Settlement,063,Furnishing and equipping for setting up a new day activity centre cum hostel for severely mentally handicapped persons in Pokfulam,1806,0,0,1806
341,Non-recurrent Grants,860,St. James¡¦ Settlement,064,Improvement works and lift door alternation works for setting up a new day activity centre cum hostel for severely mentally handicapped persons in Pokfulam,2885,0,0,2885
341,Non-recurrent Grants,860,St. James¡¦ Settlement,065,Meeting the costs of air-conditioning works for St. James' Settlement Parkside Residence and Parkside Integrated Service Team in Sai Ying Pun,1014,0,0,1014
341,Non-recurrent Grants,860,St. James¡¦ Settlement,066,Replacing a vehicle for St. James' Settlement Jockey Club Endeavour Workshop and Albert Wu Rainbow Workshop,445,0,0,445
341,Non-recurrent Grants,860,St. James¡¦ Settlement,067,Purchasing a vehicle for St. James' Settlement Day Activity Centre cum Hostel for Severely Mentally Handicapped Persons in Pokfulam,970,0,0,970
341,Non-recurrent Grants,872,Stewards,003,Undertaking fire safety/building safety rectification measures for Yiu On Halfway House,1342,0,0,1342
341,Non-recurrent Grants,872,Stewards,004,Fitting out for an integrated community centre for mental wellness in Tseung Kwan O,2540,1979,0,561
341,Non-recurrent Grants,872,Stewards,005,Furnishing and equipping for Take Your Way Clubhouse,986,0,0,986
341,Non-recurrent Grants,872,Stewards,006,Fitting out for Yiu On Integrated Vocational Rehabilitation Services Centre,2723,0,0,2723
341,Non-recurrent Grants,872,Stewards,007,Technical feasibility study for redevelopment of the Stewards Peace Clinic Building in Kwun Tong under the Special Scheme on Privately Owned Sites for Welfare Uses,2132,0,0,2132
341,Non-recurrent Grants,872,Stewards,008,Fitting out for Take Your Way Clubhouse,5287,0,0,5287
341,Non-recurrent Grants,890,The Tsung Tsin Mission of Hong Kong Social Service,016,Renovating head office in Kowloon Bay,1774,16,0,1758
341,Non-recurrent Grants,890,The Tsung Tsin Mission of Hong Kong Social Service,017,Replacing a vehicle for Kwong Fuk Home for the Elderly,1028,0,0,1028
341,Non-recurrent Grants,893,Tung Lum Nien Fah Tong Limited,010,Sewerage improvement works for Tung Lum Buddhist Aged Home in Tsuen Wan,2698,1348,0,1350
341,Non-recurrent Grants,893,Tung Lum Nien Fah Tong Limited,011,"Renovating, furnishing and equipping for Tung Lum Buddhist Aged Home in Tsuen Wan",10826,7673,552,2601
341,Non-recurrent Grants,894,Tung Sin Tan Home for The Aged,048,"Renovating, furnishing and equipping for Tung Sin Tan Home for the Aged",5411,4539,0,872
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,054,"Constructing, furnishing and equipping for Wu Chiang Wai Fong Care and Attention Home",57284,49139,0,8145
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,166,Installing air-conditioning system for Lee See Ping Home for the Elderly in Chai Wan,1041,971,0,70
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,170,"Renovating, furnishing and equipping for the Jockey Club Rehabilitation Complex in Aberdeen",42342,33487,0,8855
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,174,"Renovating, furnishing and equipping for Ho Tung Home for the Elderly in Diamond Hill",5098,30,49,5019
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,175,"Renovating, furnishing and equipping for Mok Wong Fung Yee Home for the Elderly in Sha Tin",7034,5577,0,1457
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,177,Redevelopment of David Trench Home for the Elderly in Aberdeen,298590,187086,22118,89386
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,178,"Renovating, furnishing and equipping for Hui Lai Kuen Home for the Elderly in Tai Po",7221,6298,0,923
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,179,"Renovating, furnishing and equipping for Wu York Yu Care and Attention Home in Tai Po",17346,30,14731,2585
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,180,"Renovating, furnishing and equipping for Fong Wong Woon Tei Home for the Elderly in Fanling",11351,8469,0,2882
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,188,Replacing a passenger lift for Pao Siu Loong Care and Attention Home in Tai Po,2227,2003,0,224
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,189,"Fitting out for a 70-place day care centre for the elderly at Chak On Estate, Sham Shui Po",5422,4828,0,594
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,194,"Furnishing and equipping for a residential care home for the elderly at Willow Street, Tai Kok Tsui",2313,1238,0,1075
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,195,Carrying out tree removal and maintenance works for Shuen Wan Complex for the Elderly in Tai Po,644,318,50,276
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,197,Fitting out for Tin Ching Special Child Care Centre cum Early Education and Training Centre in Tin Shui Wai,2772,2560,211,1
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,200,"Renovating, furnishing and equipping for Lo Man Huen Home for the Elderly in Sha Tin",10782,133,8423,2226
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,201,"Renovating, furnishing and equipping for Ma Cheng Shuk Ying Home for the Elderly in Sham Shui Po",8328,30,3194,5104
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,202,"Renovating, furnishing and equipping for Ma Hing Chou Home for the Elderly in Sha Tin",7283,312,4722,2249
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,205,Undertaking fire safety/building safety rectification measures for Wong Cho Tong Integrated Vocational Rehabilitation Centre cum Hostel,999,0,0,999
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,219,Fitting out for a day care centre for the elderly in Sha Tin,4298,3897,0,401
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,222,Fitting out for a day activity centre cum hostel for severely mentally handicapped persons in Tin Shui Wai,13993,12498,0,1495
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,226,"Fitting out for additional premises of CROSS Centre¡XCentral Western, Southern and Islands Office",1087,1023,0,64
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,227,Furnishing and equipping for a new residential care home for the elderly cum day care unit in Tai Wai,3847,0,0,3847
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,228,Fitting out for a new residential care home for the elderly cum day care unit in Tai Wai,20464,17105,0,3359
341,Non-recurrent Grants,896,Tung Wah Group of Hospitals,229,Fitting out for a district support centre for persons with disabilities in Sai Ying Pun,3419,3197,0,222
